title,content,tokens
Page 10,"Models of Situated Action 413 A second distinction between an epistemic frame and a Discourse is that an epistemic frame is always and explicitly a construct that is both internal and external: that is, a property of the community and of an indi- vidual to the extent that an individual has appropriated or internalized the Discourse of the community.And inally, epistemic frames take epistemol- ogy as a central analytical focus rather than identity, which is the organiz- ing structure of a Discourse. I suggest that these irst three distinctions are worth noting but are not central because,in fact,these are shared properties of both a Discourse and an epistemic frame,and the differences here are matters of emphasis rather than inclusion or exclusion. Like an epistemic frame, a Discourse similarly is both a property of a community and something that can be appropriated by an individual. A Discourse naturally includes both forms of epistemol- ogy and of identity.And any Discourse analysis requires focusing on some key discourse practices and not others. In practice, these elements of the two constructs are highlighted differently, but this is a pragmatic rather than an ontological distinction. Pragmatic differences in emphasis can be important and often suficient to merit the introduction of a new theoret- ical construct. In this case, however, there is a more important distinction that marks epistemic frames as a distinct hypothesis about the nature of learning and enculturation. The critical distinction of epistemic frame theory is its explicit – indeed, central – focus on the linkages between frame elements. One Productive Way, Part II: Forming a Frame What it means for two frame elements – that is, two discourse markers within a Discourse or two sign tokens within a symbolic system – to be “linked” depends, of course, on what the frame elements are. To take a simple example, the “skill of asking for a dry plate in Nepali” is linked to “knowledge of when the towel that will be used to wipe the plate is likely to be dirtier than the water it is wiping off” in the sense that experts only use the skill after taking this particular piece of knowledge into account.Thus we might describe the nature of the linkage as “the knowledge mediating the application of the skill.” On the other hand, the decision to politely refuse a cup of tea served by a government oficial because the glass was not dried irst could easily require caring about the cultural sensitivities of the moment, the ability to explain the decision clearly but respectfully, and the willingness to assert one’s identity as an quasi-outsider; that is, the decision-making process would depend on holding a particular value, Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",614
Page 11,"414 Shaffer having the skill to act in accord with it, and holding a particular view of oneself. I will come back to the nature of the links in a moment.But irst I would like to focus on the question of linkage itself.Strictly speaking,because dis- course is a cultural artifact,elements of discourse always invoke some com- bination of skills, knowledge, values, and decision-making processes – as well as the identity or identities associated with them.That is, anything we say or do marks us as the kind of person who makes some set of assump- tions, interprets a situation in particular ways, and decides on certain kinds of actions. The process of discourse analysis, writ large, is an attempt to understand how some action (or sequence of actions) is interpreted by the participants in their original context (Wood & Kroger, 2000). This neces- sarily means identifying the ways of knowing, doing, thinking, and being that the action signiies. Put another way, in practice, discourse elements are always interpreted in terms of a larger Discourse or Discourses. Any display of skills invokes a particular identity. Any interpretation of a sit- uation through the lens of a particular value requires knowledge of the context and its relevant features. Any decision is conditioned on the skills, knowledge, values, and identity of the community. Thus one might argue that it is impossible, in principle, to distinguish frame elements in isolation. Indeed, what would it mean to use a particu- lar skill “on its own,” independent of any relevant knowledge, values, or identity? But this is the wrong question because although skills are always linked to some form of knowledge, values, identity, and epistemology (and each of the other elements are, in turn, associated with all the others), they are not always linked to the same ones or in the same ways. The purpose in marking certain frame elements as signiicant to a community of practice is to understand how they become linked in the ways characteristic of exper- tise within the community.Put another way,if we assume a priori that using some skill from a community is an assertion of identity in that community (for example), we are assuming the very thing that from the perspective of learning we are trying to ind out: that is, how someone comes to see that skill as part of a particular identity in the irst place. The careful reader – and particularly the careful reader familiar with Discourse analysis – will no doubt recognize at this point that the con- cept of links in an epistemic frame plays an analogous role to the idea of cultural models in a Discourse (D’Andrade & Strauss, 1992; Gee, 1999; Holland & Quinn, 1987). Cultural models are memories of prototypical events in a Discourse, which could be real events experienced by an indi- vidual or stories told by or about events in the experience of members Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",659
Page 12,"Models of Situated Action 415 of the community. These prototypical event memories create images of expected patterns of behavior within the community. That is, they do the work of linking elements of the epistemic frame of the Discourse to one another in particular conigurations: they show someone what choices are appropriate within the context of the community.In so doing, they provide a mechanism by which the norms of the community are enacted by individuals – and also a hypothesis about how the process of enculturation unfolds. Indeed, much of the work of Discourse analysis is the examination of moment-by-moment interactions to understand the cultural models at work and thus the structure of the Discourses being employed. Cultural models are a “tool of inquiry” that guides the asking (and answering) of important questions about the nature of action in a community. In a similar way, we can conceive of the identiication of frame ele- ments and the structure of the links between them as a tool of inquiry.The concept of an epistemic frame is agnostic as to the mechanisms by which those links are created within individuals or within a community.Some are surely encoded in prototypical stories (Nelson,1996),others in direct event memories (Donald,1991; Dreyfus & Dreyfus,1986),and some are reduced to heuristic “rules of thumb” or sayings or maxims. Some are enshrined in written or unwritten rules (Pinker, 1997). Some are maintained in the structure of the physical environment within which a community operates (Pea, 1993). But whatever the mechanism by which links between frame elements are created or maintained,modeling the structure of those links is a useful tool of sociological and psychological inquiry – and thus an impor- tant tool in the kit of the science of learning. In saying that the structure of links in an epistemic frame models the structure of a Discourse, I want to emphasize the word model. I am not suggesting that a set of actual links exists,either within the mind of an indi- vidual or within the Discourse community, physically or even psychologi- 9 cally.The organization of links in an epistemic frame is a tool by which the cumulative structure of the norms of a Discourse can be described. That is, it is a technique for providing a mechanic grip on what Pickering (1995) referred to as “the mangle of practice.” Epistemic frames are a framework for describing the complex unfolding of events in the real world. We can create a model of the epistemic frame of the Discourse (or more properly, of some community of practice that operates with a Discourse), but we also can create a model of the epistemic frame of any individual within that community.And the similarity between the two provides a tool with which learning as enculturation can be analyzed. Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",645
Page 13,"416 Shaffer One Productive Way, Part III: Fitting a Frame The second already-existing theoretical construct that I want to introduce here builds on the irst. Epistemic network analysis (Shaffer, et al., 2009), or ENA, is a technique for quantifying – and thus analyzing – an epistemic frame. The central insight of ENA borrows, broadly speaking, from Minsky’s (1988) notion of a society of mind: that is, of the mind as a set of interacting agents. Metaphorically, we can think of the different elements of an epistemic frame (the skills, knowledge, identities, values, and episte- mology of some community of practice) as agents in their own right that are connected to one another through different patterns of association. The pattern of their interaction thus can be mapped using existing tools from social network analysis. Social network analysis, at its core, involves coding events or objects as nodes and mapping the linkages among nodes to build social networks that can be analyzed mathematically or sometimes conceptually (Latour, 1987). As one account of ENA (Shaffer et al., 2009, pp. 40–1) explains: [U]sing social network analysis we might examine the relationships among a group of people meeting for the irst time at a cocktail party. To do so, we might take a photograph of the party at appropriate intervals – perhaps every time the music changes, every time someone orders a drink, or at a ixed time interval, depending on the nature of the party and our hypoth- eses about the people and relationships involved and the social forces at work. If we make the assumption that people who spend more time in the same conversational group develop a closer relationship over time, we can quantify the social network being developed at the party by summing, for each pair of party-goers, the number of times they are recorded in the same conversational group during the party. Once quantiied in this way, social network analysis provides a wide range of analytical tools for inves- tigating the properties and processes at work in the social relationships of the party. If we think of the “party” not as a collection of individuals in a room, but rather as a collection of elements from the epistemic frame...then we can use the same analytical tools to conduct epistemic network analysis. I want to draw out two important points from this brief summary of the relationship between social network analysis and ENA. 10 The irst is rather evident but nonetheless signiicant: Social net- work analysis is a simpliication of the complex dynamics of a social sit- uation. As in any analysis of data, it is based on an assertion about the Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",611
Page 14,"Models of Situated Action 417 relationship between the observed data and some phenomenon of interest. In the hypothetical case earlier, there is an inference made that “being in the same conversational group”tells us something about a developing rela- tionship. It is possible to posit more complex inferences (perhaps based on more complex observations),including all manner of possible relationships between people using social network analysis. The subsequent mathemat- ics may become more complex (depending on the relationships hypothe- sized), but the principle remains the same: As in any model, social network analysis simpliies the observed situation, and the test of whether the sim- pliication is appropriate lies in the nature of the question being asked and the subsequent results obtained. In a similar way, then, ENA is a simpliied representation of the struc- ture of the practices of a community – although one has to quickly admit that a cultural model (and any other model, qualitative or quantitative) is as well. I will provide an example of ENA being used on real data in a moment, but most ENA analyses use a relatively small number of frame elements (six to twenty) and take “co-occurrence in discourse” as a proxy for “linkage.” This is a simpliication, but one of practical convenience, not theoretical necessity.The same technique could account for more ele- ments, different kinds of linkages (including directional links), and more complex decision rules for determining linkage. The second issue to draw out is actually a point of omission: namely, that the preceding account makes no more mention of an epistemic frame beingthepropertyofasingleindividualthanasocialnetworkis–although, of course, an individual has collections of both epistemic frames and social networks. In fact,the preceding description does not even suggest that an epistemic frame is uniquely the property of people, in the sense that the artifacts with which people interact similarly could provide links between frame elements. In this sense, a theory of epistemic frames mimics Pasks’ (1975) conversation theory or a theory of distributed mind (Shaffer & Clinton, 2006), where persons and machines contribute to the co-creation of systems of meaning. This is a central point, in the sense that one can use ENA to describe, quantify, and compare the epistemic frame exhibited by various combinations of actors in the system (including individuals and groups of persons and technologies). Whats in the Game? By way of example, I’d like to present empirical work that, again, has been reported in more detail elsewhere (Hatield & Shaffer,2006,2008; Shaffer, Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",600
Page 15,"418 Shaffer 2007): this time, a study by my colleague David Hatield on an educational game he developed with Alecia Magniico. In the game, called science.net, players become science journalists and produce an online science news- magazine. Science.net is an example of an epistemic game, in the sense that it is a game designed to develop the epistemic frame of a particular socially valued community of practice (Shaffer, 2007). It recreates in game form what cub reporters experience in their professional training. Thisparticularclaim–thatthegamerecreateswhatcubreportersexpe- rience in their professional training – provides an excellent example of the kind of analysis I have been describing. It asserts that the practices in one community (the game) model the practices in another (the professional practicum through which journalists are trained). If ENA can be used to empirically test Hatield’s claim about the structure of the game, then it provides a theoretically grounded metric for comparing Discourses – and thus a means to assess enculturation. Thecomputergamescience.netwasdesignedbasedontwoethnographic studies of journalism capstone courses in which undergraduate journal- ism students were apprenticed into the community of practice in a class designed to mimic key practices of a real newsroom. One of those key practices was copyediting: line-by-line corrections to a news story that are copious, detailed, and blunt.The copyedits in science.net – a game designed for middle school students – were somewhat less blunt, but they were sup- posed to retain the other salient features of the original.Graduate students working on the project (none of whom were themselves journalists) were trained to give feedback in the game, and Hatield’s question was whether these mentors in the game setting were modeling the same practices as the journalists who were mentors in the professional training. To assess whether the mentors in the game and in the journalism practicum on which it was modeled were engaging in the same practices, Hatield created a coding scheme from the ethnographic data, cataloging some eighteen skills, forms of knowledge, values, identity markers, and epistemological stances: everything from “knowledge of the reader” to the “skill of narrative storytelling,” the “value of making a difference,” and the 12 “epistemology of accuracy.” Each of the copyedits from each of the sto- ries iled was coded as to whether the mentor referenced each of the eigh- teen frame elements, as in the example in Figure 23.1. Hatield then used ENA to construct a model of the epistemic frame the journalist was enacting. He treated the individual copyedits across all stories as if they were snapshots of people (i.e., frame elements) interact- ing at a party (i.e., being linked in discourse) to model the enacted epistemic Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",663
Page 16,"Models of Situated Action 419 S Switnessing Readers will became Spressingsource engaged with issues if we Sinvestigating Snarrative storytelling do a good job of telling removing reader barriers Sdetaileddescription stories through people. Vinformingthe public Vengagingthe reader (story) Vengagingthe reader (issue) Vtransparency Vmakinga difference E Eaccuracy Erich detailsative reporter Kstory Kreporting K reader Figure 23.1. A copyedit created by a professional journalist and coded using ele- ments of the epistemic frame of a journalism practicum. frame of the journalist: that is,to create a model of the journalist’s epistemic frame as relected in the copyedits he or she made. In this model of the Discourse of journalism, copyediting served as a reference frame because it was a model of the practices (or part of the practices) that the game science. 13 net was trying to replicate. Hatield then used the same coding scheme on all the copyedits from the game science.net, and as a point of comparison, also on copyedits made on papers in a graduate psychology course, which were of similar style and form to the journalism edits. He then computed the epistemic frame for each of the stories in each of the venues: journalism practicum (JP), science. net game (G), and psychology course (PC). Using a technique called rel- ative centrality distance (which is described in more detail in his work), he computed the “distance” between the reference frame and each story in the data set. I do something of an injustice to Hatield’s study in describing it so briely here, but sufice it to say that he triangulated his indings using both further qualitative investigation of the different stories and further quantitative analysis of the frames he constructed, which both conirmed his initial indings and led to some reinements in the methods for com- puting the distances between frames.The overall result, though, was clear and straightforward and can be seen in Figure 23.2, which shows that the distances from the reference frame to the frames from the game stories (G) were not signiicantly different from the distances from the reference Downloaded from https://www.cambridge.org/core. The Librarian-Seeley Historical Library, on 22 Nov 2019 at 02:48:22, subject to the Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028",550
Page 17,"420 Shaffer 200 Mean distance from reference frame 180 160 140 120 100 80 60 40 20 0 JP G PC Figure 23.2. Graph showing mean distance from reference frame for stories in three conditions: journalism practicum (JP), game (G), and psychology course (PC). Smaller distance shows stronger overlap. frame to the stories in the journalism practicum (JP). The papers in the psychology course (PC),on the other hand,were signiicantly further away from the reference frame. The differences are even more dramatic when the frames are actually visualized, as in this projection from the high-dimensional space in which frames are analyzed into a 2D plane, where the blue network represents the journalism practicum, the green the game, and the red the psychology course (Figure 23.3). In both cases, the results are the same. The model suggests that the copyediting practices used by mentors in the game science.net working with middle-school-aged players relected the same practices used in the train- ing of journalists during one capstone course.In other words,Hatield used ENA to show that the epistemic game science.net was...well, epistemic. Another colleague, Elizabeth Bagley, has taken a similar approach to looking at the epistemic game Urban Science, which recreates the training practices of urban planners (Bagley & Shaffer, 2009, 2010). Like Hatield, she studied the training of professionals to model a reference frame for the game, this time from the practice of planning rather than journalism. In her study (again,reported in more detail elsewhere),she used ENA to show how,from one week to the next during the practicum,the enacted frame of Downloaded from https://www.cambridge.org/core. The Librarian-Seeley Historical Library, on 22 Nov 2019 at 02:48:22, subject to the Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028",436
Page 18,"Models of Situated Action 421 Figure 23.3. A projection of the links between frame elements in a journalism prac- ticum (light gray), the game science.net (medium gray), and a psychology course (black). novice planners converged with the frame being modeled by their mentor. That is, the Discourse of the novices became more like the Discourse of the profession. ENA, then, and with it the concept of epistemic frames, appears to be a useful tool in assessing learning as the relection of an indi- vidual’s enculturation in a community of practice. ENA and Crusoe To explain how ENA might provide such a model, let us imagine, for a moment, superimposing two epistemic networks, one on another. Like social networks, epistemic networks can be visualized in a number of ways, including as a network graph, similar to those in Figure 23.3, where frame elements are represented by nodes and links are represented by lines, with strength of association between two elements represented by the length and/or thickness of the line that connects their associated nodes in the graph. Networks also can be represented by adjacency matrices, where each cell in the matrix quantiies the association between two elements, or even as points in a very high-dimensional space, where points in the same neighborhood represent networks of similar coniguration. Therearethusseveralwaysofimaginingthesuperpositionofnetworks, and perhaps Figure 23.4 is as good as any. Let us assume, again for the sake of simplicity, that the full set of nodes and links in Figure 23.4 is the reference frame for some community of Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",402
Page 19,"422 Shaffer Figure 23.4. Superposition of two epistemic networks. The set of all nodes is a reference frame from some community of practice. The orange (solid) nodes and orange (solid) lines represent the epistemic frame of a novice at some point in time. practice; that is, it is the set of frame elements and links between them that experts in the community exhibit when taking action.A novice’s epistemic frame might be represented by the set of orange (solid) nodes and links: It is a subset of the reference frame, including only some of the nodes and links from the original. There also could be extraneous or overweighted links, although this diagram does not show that case. The key point is that the orange frame alone does not appear to be“sta- ble.” Key connecting nodes and links that are part of the reference frame are missing. Some of the frame elements that are present (the node in the upper right, for example) are not connected to other elements. Thus it is easy to believe that our orange novice would not be able to enact practices of the community in an unfamiliar setting with much success. Too many of the conditions for successful practice are missing in his or her episte- mic network. He or she is not suficiently enculturated because he or she has not (yet) internalized enough of the frame of the community. On the other hand, some links are in place, so with appropriate support from the setting – whether from peers, mentors, or from the material conditions of practice – it appears that the orange novice could participate in the prac- tices of the community, even if perhaps at this stage still only peripherally. Astheorangenoviceprogressedthroughhisorherenculturation,more of the skills, knowledge, values, epistemology, and identity of the commu- nity would become part of his or her epistemic frame. If the reproductive Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",454
Page 20,"Models of Situated Action 423 practices of the community were effective, the appropriate kinds of links would be formed between them. At some point the coniguration would become stable, in the sense that it would be able to operate with minimal support from the setting in which our orange (now) expert inds himself or herself.If we take the liberty of describing the reference frame at work here as the Peace Corps volunteers’ Discourse of water puriication in Nepal, we might expect that the orange links and nodes represent the epistemic frame of a volunteer who treated his or her water when around other vol- unteers in Kathmandu but not when he or she was alone at post. If the ref- erence frame is, in some broad sense, “British culture,” our orange novice might be Jack Merridew. MSA and Games There is, of course, much to be said (some of which, as earlier, already has been said elsewhere) about the details of coding,constructing,quantifying, analyzing, and visualizing epistemic frames using ENA. But I began this meditation on the nature of learning in games with a claim that my intent was to describe a theory of learning that is simultaneously individual and situated and to suggest that it provides an example of the kind of theory that we need to develop to study learning in games. My argument thus is that the speciic details of epistemic frames and ENA are less important (in this context) for their own sake than in the way that they exemplify a class of theory that I propose to call models of situated action (MSAs). MSAs are representations of participation in a practice that, like epistemic frames, are amenable to comparison between and across individuals, groups, and situations. They are postschism theories that are both symbolic and sociocultural. The term models of situated action is meant to recognize that any such theory is necessarily a model of action,in the sense that it does not necessar- ily propose that a speciic physical or psychological structure exists in the minds of individuals or in the world around them. Rather, it proposes that some construct is useful for analyzing situated action. Further, any such theory must make a link between individuals,groups of individuals,and the context around them; that is,it must be situated in the sense that it provides a formal language that accounts for the way in which individuals take cer- tain actions in certain situations. And inally, any such theory must focus on action in the sense that it can provide not only descriptive but also pre- dictive accounts of the discourse individuals and groups use (including, of course,but not limited to,particular speech acts).Put in simpler terms,any Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",611
Page 21,"424 Shaffer MSA has to be the kind of theory that could account for which Americans will wear bicycle helmets inAmsterdam and which Peace Corps volunteers will treat their water at post in Nepal. Thus epistemic frames are but one example of an MSA. Other researchers are similarly working on models – often, like ENA, quantita- tive and computational – of situated action. For example, Shute and her colleagues have been using Bayesian networks to model player choices in a game (Shute et al., 2009). Mislevy has proposed evidence centered assessment design as a framework for constructing, describing, and vali- dating assessments of complex practices (Mislevy & Riconscente, 2006). Hickey has looked at models that link proximal situated data with distal standardized assessments to understand the eficacy of learning activities, particularly in the setting of educational games (Hickey, Ingram-Goble, & Jameson, 2009). Suthers and colleagues have looked at quantifying the distance between forms of discourse (Constantino-Gonzalez, Suthers, & Escamilla de los Santos, 2003). Each of these is a different quantita- tive and theoretical framework for looking at situated action.And each is thus, I claim, a kind of MSA. Which brings us to a key question, for the future of learning and for this volume: Why are MSAs so important for understanding learning in games? My answer starts with recognition that a game is fundamentally a cul- ture (Gee, 2003; Shaffer, 2007; Steinkuehler, 2006). Playing a game – and certainly playing a game well – requires a certain way of thinking about and being in the world: a set of skills, knowledge, values, ways of mak- ing decisions, and ways of seeing oneself and being seen by others who “work” in the game. The players of any game form a community of prac- tice, complete with newcomers and old-timers, with rites of passage and increasingly central participation. Thus one powerful way to analyze the experience of players of a game is through some model of enculturation – that is, using an MSA. A second aspect of computer games that makes MSAs such useful con- ceptual tools is that, compared with other interactive settings, games rec- ord a relatively large subset of activity. No game can record everything that happens with, by, and to players because some actions that matter in the game always take place outside the computer system and even away from the game interface itself. For example, players talk with one another or with onlookers while playing, multiple players design or play the same character, and players talk about games at the schoolyard or water cooler. But these issues notwithstanding, games record an enormous amount of Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",628
Page 22,"Models of Situated Action 425 discourse in the form of players’ choices,actions,and even (in good games) dialog with other players and nonplayer characters. There is, in fact, an overwhelming stream of cultural information available about players in a game – too much to be managed, in most cases, without some formal model of participation, that is, without an MSA. Third, although some games are more “open-ended” than others – a multiplayer online role-playing game has more possible interactive con- texts than a game such as Tetris, for example – the cultural context of a game (particularly a computer game) is bounded in predictable ways.That is, relative to social interactions writ large, the structure of the game sit- uation constrains the set of discourse moves that players may undertake. The game provides a restricted semiotic system (Gee,2003) that,while not inite, is more formally tractable than discourse in many interactive set- tings.The organization of the game into set levels, scenes, nonplayer char- acters, and other structural features – not to mention formal rules through which these game elements operate – provides a degree of standardization across contexts for different players.The game system consists of arenas in which particular kinds of discourse are likely to recur. Games worlds thus are fundamentally cultural in nature.They provide a rich record of players’ discourse. And they have the potential to provide standardized elements of situations in which players interact.All these fea- tures, in turn, suggest that MSAs are particularly powerful – and perhaps essential – tools for understanding learning in games. Contrariwise, games are also particularly powerful – and if not essential, certainly quite valu- able – contexts in which to develop and understand MSAs and learning through enculturation in practices more generally. Consider, for example, one of the players in Hatield’s science.net game. Let’s call her Sarah.At any point in the game,we could,in theory,construct the epistemic frame of journalism that Sarah has enacted during the game; that is, we can quantify the structure of links between frame elements in Sarah’s recorded discourse. We also could construct the frame enacted by the group or groups with which Sarah has worked. In fact, we could con- struct the frame enacted by all the elements of the game (including other players) that have been visible to Sarah during the game.This would con- stitute her observed frame, which would represent all the discourse within her horizon of observation in the game (Hutchins,1995).As discussed earlier, we could, from studies of expert performance – either in real newsrooms, journalism practica, or by having journalists play the game – construct a reference frame (or reference frames) that represent an ideal set or sets of expert performance. Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",639
Page 23,"426 Shaffer TheseframeswouldconstituteanMSA,andusingENA,thesedifferent frames could be compared quantitatively.Thus we might ask, for example, whether during the game Sarah’s frame converged with one of the refer- ence frames of expert journalists. We could ask whether her frame was more likely to converge toward the reference frame if her observed frame also converged with the reference frame. That is, we could quantify one of the most elusive concepts in education, opportunity to learn (Darling- Hammond, 2006), by examining the progress of players relative to the qualities of the context in which they were embedded. We could determine the trajectory over time of Sarah’s frame devel- opment in the game and compare it with successful trajectories of experts, or of other players.We could determine whether certain learning progres- sions are more or less likely to lead to signiicant enculturation. We could determine which kinds of responses from mentors are most and least effec- tive in promoting enculturation at different points in the game. We could even, with suficient data, potentially replace the cognitive model in an automated tutoring system with an MSA to produce realistic mentoring in 14 an ill-formed domain such as journalism (Shaffer, 2009). To the extent that any of these have been done, can be done, or will be done with ENA, they also could be done with any MSA that similarly provides a model of participation in a community of practice. In other words, MSAs provide a mechanism for assessing enculturation by deter- mining the extent to which – and the particular ways in which – an indi- vidual has or has not adopted the discourse practices of a community: the community of players of a game or a community of practice in the world outside the game.MSAs do so by explicitly connecting events at the sociocultural level (participation in a Discourse) with events at the indi- vidual level (actions of a player). They do so by explicitly modeling the relationship between discourse markers (symbols) and the structure of a Discourse (practices). Full Circle This chapter began by asking how we might measure whether things play- ers do in a game help them to do things in the world outside the game. I have argued for a view of transfer in which learning, even when occurring within a video game, is simultaneously a deeply individual and thoroughly cultural affair. It is situated learning that can best be conceptualized as models of situated action – if which I offer epistemic frames and epistemic network analysis as merely one example. Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",594
Page 24,"Models of Situated Action 427 In this sense, an MSA is a theoretical construct that looks at learning – at transfer in the general sense of how one experience can affect another – from both a sociocultural and symbolic perspective. In so doing, an MSA is a model of the authentic practices of a community in action, providing an assessment of learning over time and in situ. A model of learning that has the potential to distinguish Robinson Crusoe from the Lord of the Flies.A model for the kind of learning that happens in games and that ideally hap- pens in effective learning environments of any kind. Acknowledgments This work was funded in part by the Macarthur Foundation and the National Science Foundation through Grants REC-0347000, DUE- 091934, DRL-0918409, and DRL-0946372. The opinions, indings, and conclusions do not relect the views of the funding agencies, cooperating institutions, or other individuals. Thanks to these funders, and to David Hatield, Elizabeth Bagley and the Epistemic Games Research Group, and to Jim Gee and Katie Clinton for their suggestions on the manuscript. Notes 1 And, of course, relexively, communities change through the participation of 2 individuals. This is, of course, quite transparently a iction because anyone who knows me knows that in fact I was on sabbatical in the real European city called Amsterdam.ImakethedistinctionbetweentheAmsterdamintheNetherlands and the “Amsterdam” I discuss here because I am not presenting a rigorous empirical study of a particular city. Rather, I am making a point about the nature of culture and learning, which only requires that the details are illus- trative. In this I am following Barthes, who in Empire of Signs (1982) writes in detail about the semiotics of Japanese culture but claims explicitly that he“can also – though in no way claiming to represent or analyze reality itself (these being the major gestures of Western discourse) – isolate somewhere in the world (faraway) a certain number of features (a term employed in linguistics), and out of these features deliberately form a system. It is this system which I shall call: Japan” (p. 3). 3 I refer to these physical features of the city and social norms as habitus because they are part of the taken-for-granted infrastructure of Dutch society that shapes the meaning of experience (Bourdieu, 1977). 4 The study is as yet unpublished,but the convenience sample consisted primar- 5 ily of other parents at my children’s school. See note 1 for the relationship between the country I describe and the country of Nepal in Asia. Downloaded from https://www.cambridge.org/core. The Librarian-Seeley Historical Library, on 22 Nov 2019 at 02:48:22, subject to the Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028",651
Page 25,"428 Shaffer 6 For those planning travel to Nepal, one way to ask for a dry plate is: “Plet rumalle putchepaachi khaana raknus.” But although this phrase may seem sim- ple, actually getting a dry plate requires a far more complex demonstration of skills,usually including various forms of gesture and mime.The concern about the dryness of the plate is that if the plate is only washed clean, drops of con- taminated water may remain on it. By contrast, using iodine to purify water requires only waiting twenty minutes, but you also have to remember to turn the bottle over and let some of the iodized water run over the screwtop, or the water trapped there can still contain parasites. 7 In many places in Nepal,the main criterion for the purity of water is the speed with which it moves.That is, lowing water is cleaner than standing water, no matter what its original source. So water lowing in a strong stream or tap is regarded as clean. 8 And not surprisingly, while everyone got parasites sometimes, volunteers who did treat their water got fewer serious parasites and got parasites less often than those who did not. 9 And even if they did, we are not currently able to observe them directly. Any representation of a Discourse is always a model, although recent advances in neuroscience suggest that perhaps a model of neural functioning could be sim- ilarly conceptualized as a set of links. 10 A third point worth making, although not central to the argument here, is that early empirical work with ENA suggests that epistemic networks, in fact, have mathematical properties that differ somewhat from the networks ana- lyzed by traditional social network analysis. (Social networks tend to contain large numbers of nodes with sparse connections. Epistemic networks tend to have fewer nodes and are more densely connected.) Thus, although the same principles apply, in practice the use of ENA requires slightly different algo- rithms. 11 To be completely fair, the original text at this point actually does refer to the frame elements as belonging to an individual.In the original presentation,this was for clarity of the description.Later in the same treatment of ENA,there is a discussion of quantifying the frames of collections of individuals. 12 There are, perhaps, those who might wonder why accuracy is coded as a form of epistemology and not a kind of value. In fact, it could be coded as either because, as above, the categories of skill, knowledge, and so forth are guide- lines only. In the case of journalism, however, epistemology may be the better choice for accuracy in the sense that the practice of journalism is inextricably bound up with “scientiic” concepts such as accuracy and veriication (Kovach and Rosenstiel, 2001) or, as some suggest, the fundamental commandment of journalism is: “Thou shall not fabricate” (Gardner et al., 2001). 13 More details on the mathematics of ENA can be found in Shaffer and col- leagues (2009). More details on Hatield’s speciic methods can be found in Hatield and Shaffer (2010). 14 I use the term ill-formed domain here because problems in journalism – as in many domains of complex practice – cannot be solved using a set of pro- cedures speciied in advance. (This is in contrast, for example, to work in a factory or a game like tic-tac-toe.) Well-formed domains can be represented Downloaded from https://www.cambridge.org/core. The Librarian-Seeley Historical Library, on 22 Nov 2019 at 02:48:22, subject to the Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028",821
